m/z	intensity
821.886622	197.02
821.903662	188.078
821.920701	190.196
821.937742	178.118
821.954782	170.902
821.971822	179.373
821.988863	186.902
822.005904	187.059
822.022945	184.235
822.039986	186.667
822.057027	178.98
822.074069	161.412
822.09111	152.392
822.108152	164.549
822.125194	167.529
822.142237	171.137
822.159279	177.804
822.176322	180
822.193364	196.863
822.210407	222.98
822.22745	248.784
822.244494	262.667
822.261537	295.843
822.278581	334.196
822.295625	386.118
822.312669	432.392
822.329713	475.137
822.346757	514.824
822.363802	559.765
822.380846	587.843
822.397891	602.353
822.414936	631.294
822.431981	660.784
822.449027	673.804
822.466072	693.412
822.483118	748.235
822.500164	833.961
822.51721	922.275
822.534257	1026.04
822.551303	1113.25
822.56835	1152.24
822.585396	1092.39
822.602443	950.275
822.619491	788.235
822.636538	668.392
822.653585	572
822.670633	480.235
822.687681	399.216
822.704729	371.608
822.721777	385.176
822.738826	387.686
822.755874	349.882
822.772923	309.412
822.789972	293.49
822.807021	285.804
822.82407	258.902
822.84112	232.392
822.85817	220.471
822.875219	209.255
822.892269	199.529
822.90932	189.725
822.92637	184.314
822.94342	186.118
822.960471	183.765
822.977522	185.569
822.994573	181.569
823.011624	189.412
823.028676	198.667
823.045727	217.255
823.062779	240.941
823.079831	268.784
823.096883	260.549
823.113935	255.529
823.130988	256.314
823.148041	263.059
823.165093	250.745
823.182146	252.157
823.1992	254.275
823.216253	270.51
823.233306	292.157
823.25036	330.745
823.267414	361.098
823.284468	395.451
823.301522	427.686
823.318577	462.353
823.335631	478.275
823.352686	518.196
823.369741	568.235
823.386796	610.98
823.403851	659.137
823.420907	727.529
823.437963	825.098
823.455018	942.039
823.472074	1030.04
823.489131	1062.51
823.506187	1073.49
823.523244	1090.98
823.5403	1072.24
823.557357	1033.8
823.574414	1022.82
823.591471	993.569
823.608529	876.628
823.625586	751.529
823.642644	646.431
823.659702	539.059
823.67676	451.373
823.693819	410.118
823.710877	394.431
823.727936	389.176
823.744995	381.725
823.762054	359.608
823.779113	324.863
823.796172	310.431
823.813232	293.647
823.830291	260.863
823.847351	227.843
823.864411	223.608
823.881472	228.706
823.898532	240.627
823.915593	245.804
823.932653	243.451
823.949714	234.51
823.966775	224.392
823.983837	206.98
824.000898	203.059
824.01796	200
824.035022	209.333
824.052084	224.941
824.069146	244.941
824.086208	254.588
824.103271	255.843
824.120334	258.275
824.137396	256.235
824.154459	257.176
824.171523	272.235
824.188586	276
824.20565	274.196
824.222714	292.941
824.239777	332.314
824.256842	378.118
824.273906	424.314
824.29097	494.667
824.308035	571.843
824.3251	623.373
824.342165	656.235
824.35923	701.02
824.376295	750.431
824.393361	786.824
824.410427	856
824.427493	945.804
824.444559	1012.86
824.461625	1078.98
824.478691	1197.49
824.495758	1303.53
824.512825	1330.43
824.529892	1316.63
824.546959	1333.88
824.564026	1388.63
824.581094	1401.18
824.598161	1297.96
824.615229	1106.43
824.632297	928.863
824.649365	812.784
824.666434	736.549
824.683502	670.275
824.700571	598.118
824.71764	531.608
824.734709	493.333
824.751778	466.196
824.768848	443.059
824.785917	421.098
824.802987	390.902
824.820057	369.804
824.837127	352.392
824.854197	336.235
824.871268	317.569
824.888339	300.314
824.905409	275.373
824.92248	267.608
824.939552	262.588
824.956623	250.824
824.973695	230.98
824.990766	229.961
825.007838	233.255
825.02491	226.98
825.041983	226.824
825.059055	230.902
825.076128	237.961
825.0932	236
825.110273	233.412
825.127346	240.157
825.14442	243.608
825.161493	252.784
825.178567	268.471
825.195641	285.961
825.212715	301.804
825.229789	328.157
825.246863	347.529
825.263938	382.039
825.281013	425.176
825.298088	471.922
825.315163	511.922
825.332238	543.529
825.349313	563.059
825.366389	591.373
825.383465	647.451
825.400541	711.843
825.417617	754.118
825.434693	787.059
825.45177	825.177
825.468846	874.902
825.485923	914.902
825.503	955.843
825.520077	1009.65
825.537155	1094.82
825.554232	1155.53
825.57131	1173.49
825.588388	1142.12
825.605466	1040.08
825.622544	861.804
825.639623	688.628
825.656701	576.863
825.67378	521.177
825.690859	492.235
825.707938	456.863
825.725018	418.667
825.742097	383.686
825.759177	345.961
825.776257	321.882
825.793337	303.451
825.810417	282.588
825.827497	268.157
825.844578	266.824
825.861659	255.843
825.87874	242.667
825.895821	228.941
825.912902	230.588
825.929983	226.588
825.947065	214.118
825.964147	199.294
825.981229	192.392
825.998311	187.843
826.015393	193.882
826.032476	202.118
826.049558	211.843
826.066641	205.569
